dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
P3HT_dataset,BNN,0.1,50,1.0,30.0,30.0,0.0,1.0,54.0,54.0,0.0,-24.0,-24.0
P3HT_dataset,BNN,0.1,51,1.0,25.0,25.0,0.0,1.0,34.0,34.0,0.0,-9.0,-9.0
P3HT_dataset,BNN,0.1,54,1.0,17.0,17.0,0.0,1.0,74.0,74.0,0.0,-57.0,-57.0
P3HT_dataset,BNN,0.1,55,1.0,29.0,29.0,0.0,1.0,47.0,47.0,0.0,-18.0,-18.0
P3HT_dataset,BNN,0.1,58,1.0,33.0,33.0,0.0,1.0,40.0,40.0,0.0,-7.0,-7.0
P3HT_dataset,BNN,0.1,60,1.0,28.0,28.0,0.0,1.0,50.0,50.0,0.0,-22.0,-22.0
P3HT_dataset,BNN,0.1,61,1.0,22.0,22.0,0.0,1.0,50.0,50.0,0.0,-28.0,-28.0
P3HT_dataset,BNN,0.1,62,1.0,25.0,25.0,0.0,1.0,87.0,87.0,0.0,-62.0,-62.0
P3HT_dataset,BNN,0.1,67,1.0,17.0,17.0,0.0,1.0,38.0,38.0,0.0,-21.0,-21.0
P3HT_dataset,BNN,0.1,68,1.0,18.0,18.0,0.0,1.0,65.0,65.0,0.0,-47.0,-47.0
P3HT_dataset,BNN,0.1,71,1.0,16.0,16.0,0.0,1.0,67.0,67.0,0.0,-51.0,-51.0
P3HT_dataset,BNN,0.5,27,1.0,59.0,59.0,0.0,1.0,36.0,36.0,0.0,23.0,23.0
P3HT_dataset,BNN,0.5,30,1.0,26.0,26.0,0.0,1.0,85.0,85.0,0.0,-59.0,-59.0
P3HT_dataset,BNN,0.5,45,2.0,44.0,44.0,22.0,2.0,68.0,68.0,28.0,-24.0,-24.0
P3HT_dataset,BNN,0.5,47,1.0,74.0,74.0,0.0,1.0,43.0,43.0,0.0,31.0,31.0
P3HT_dataset,BNN,0.5,49,1.0,20.0,20.0,0.0,1.0,84.0,84.0,0.0,-64.0,-64.0
P3HT_dataset,BNN,0.5,50,1.0,24.0,24.0,0.0,1.0,74.0,74.0,0.0,-50.0,-50.0
P3HT_dataset,BNN,0.5,51,1.0,24.0,24.0,0.0,1.0,36.0,36.0,0.0,-12.0,-12.0
P3HT_dataset,BNN,0.5,54,1.0,18.0,18.0,0.0,1.0,74.0,74.0,0.0,-56.0,-56.0
P3HT_dataset,BNN,0.5,55,1.0,32.0,32.0,0.0,1.0,47.0,47.0,0.0,-15.0,-15.0
P3HT_dataset,BNN,0.5,58,1.0,34.0,34.0,0.0,1.0,40.0,40.0,0.0,-6.0,-6.0
P3HT_dataset,BNN,0.5,60,1.0,29.0,29.0,0.0,1.0,52.0,52.0,0.0,-23.0,-23.0
P3HT_dataset,BNN,0.5,61,1.0,22.0,22.0,0.0,1.0,50.0,50.0,0.0,-28.0,-28.0
P3HT_dataset,BNN,0.5,62,1.0,22.0,22.0,0.0,1.0,83.0,83.0,0.0,-61.0,-61.0
P3HT_dataset,BNN,0.5,67,1.0,17.0,17.0,0.0,1.0,37.0,37.0,0.0,-20.0,-20.0
P3HT_dataset,BNN,0.5,68,1.0,18.0,18.0,0.0,1.0,66.0,66.0,0.0,-48.0,-48.0
P3HT_dataset,BNN,0.5,71,1.0,17.0,17.0,0.0,1.0,68.0,68.0,0.0,-51.0,-51.0
P3HT_dataset,BNN,1.0,27,1.0,67.0,67.0,0.0,1.0,45.0,45.0,0.0,22.0,22.0
P3HT_dataset,BNN,1.0,30,1.0,43.0,43.0,0.0,1.0,78.0,78.0,0.0,-35.0,-35.0
P3HT_dataset,BNN,1.0,45,2.0,49.5,49.5,24.5,2.0,80.0,80.0,18.0,-30.5,-30.5
P3HT_dataset,BNN,1.0,47,1.0,75.0,75.0,0.0,1.0,59.0,59.0,0.0,16.0,16.0
P3HT_dataset,BNN,1.0,49,1.0,20.0,20.0,0.0,1.0,65.0,65.0,0.0,-45.0,-45.0
P3HT_dataset,BNN,1.0,50,1.0,25.0,25.0,0.0,1.0,45.0,45.0,0.0,-20.0,-20.0
